"","team","opp","wprob"
"1","01","01","0.5"
"2","01","02","0.543859649122807"
"3","01","03","0.555555555555556"
"4","01","04","0.690909090909091"
"5","01","05","0.82051282051282"
"6","01","06","0.7"
"7","01","07","0.8"
"8","01","08","0.80327868852459"
"9","01","09","0.919354838709677"
"10","01","10","1"
"11","01","11","0.5"
"12","01","12","1"
"13","01","13","1"
"14","01","14","0.5"
"15","01","15","0.5"
"16","01","16","1"
"17","02","01","0.456140350877193"
"18","02","02","0.5"
"19","02","03","0.617021276595745"
"20","02","04","0.428571428571429"
"21","02","05","0"
"22","02","06","0.766666666666667"
"23","02","07","0.742857142857143"
"24","02","08","0.285714285714286"
"25","02","09","0"
"26","02","10","0.581395348837209"
"27","02","11","0.923076923076923"
"28","02","12","1"
"29","02","13","0.5"
"30","02","14","0.5"
"31","02","15","0.941666666666667"
"32","02","16","0.5"
"33","03","01","0.444444444444444"
"34","03","02","0.382978723404255"
"35","03","03","0.5"
"36","03","04","0.571428571428571"
"37","03","05","0.666666666666667"
"38","03","06","0.569230769230769"
"39","03","07","0.6"
"40","03","08","1"
"41","03","09","1"
"42","03","10","0.692307692307692"
"43","03","11","0.657894736842105"
"44","03","12","0.5"
"45","03","13","0.5"
"46","03","14","0.85"
"47","03","15","1"
"48","03","16","0.5"
"49","04","01","0.309090909090909"
"50","04","02","0.571428571428571"
"51","04","03","0.428571428571429"
"52","04","04","0.5"
"53","04","05","0.555555555555556"
"54","04","06","0.5"
"55","04","07","0.666666666666667"
"56","04","08","0.285714285714286"
"57","04","09","1"
"58","04","10","1"
"59","04","11","0.5"
"60","04","12","0.636363636363636"
"61","04","13","0.791666666666667"
"62","04","14","0.5"
"63","04","15","0.5"
"64","04","16","0.5"
"65","05","01","0.179487179487179"
"66","05","02","1"
"67","05","03","0.333333333333333"
"68","05","04","0.444444444444444"
"69","05","05","0.5"
"70","05","06","1"
"71","05","07","0.5"
"72","05","08","0.333333333333333"
"73","05","09","0.5"
"74","05","10","1"
"75","05","11","0.5"
"76","05","12","0.633333333333333"
"77","05","13","0.785714285714286"
"78","05","14","0.5"
"79","05","15","0.5"
"80","05","16","0.5"
"81","06","01","0.3"
"82","06","02","0.233333333333333"
"83","06","03","0.430769230769231"
"84","06","04","0.5"
"85","06","05","0"
"86","06","06","0.5"
"87","06","07","0.5"
"88","06","08","0"
"89","06","09","0.5"
"90","06","10","0.666666666666667"
"91","06","11","0.658333333333333"
"92","06","12","0.5"
"93","06","13","0.5"
"94","06","14","0.857142857142857"
"95","06","15","0.5"
"96","06","16","0.5"
"97","07","01","0.2"
"98","07","02","0.257142857142857"
"99","07","03","0.4"
"100","07","04","0.333333333333333"
"101","07","05","0.5"
"102","07","06","0.5"
"103","07","07","0.5"
"104","07","08","0.5"
"105","07","09","0.5"
"106","07","10","0.608333333333333"
"107","07","11","0"
"108","07","12","0.5"
"109","07","13","0.5"
"110","07","14","1"
"111","07","15","0.666666666666667"
"112","07","16","0.5"
"113","08","01","0.19672131147541"
"114","08","02","0.714285714285714"
"115","08","03","0"
"116","08","04","0.714285714285714"
"117","08","05","0.666666666666667"
"118","08","06","1"
"119","08","07","0.5"
"120","08","08","0.5"
"121","08","09","0.491666666666667"
"122","08","10","0.5"
"123","08","11","1"
"124","08","12","0"
"125","08","13","1"
"126","08","14","0.5"
"127","08","15","0.5"
"128","08","16","0.5"
"129","09","01","0.0806451612903226"
"130","09","02","1"
"131","09","03","0"
"132","09","04","0"
"133","09","05","0.5"
"134","09","06","0.5"
"135","09","07","0.5"
"136","09","08","0.508333333333333"
"137","09","09","0.5"
"138","09","10","0.5"
"139","09","11","0.5"
"140","09","12","0.5"
"141","09","13","1"
"142","09","14","0.5"
"143","09","15","0.5"
"144","09","16","0.5"
"145","10","01","0"
"146","10","02","0.418604651162791"
"147","10","03","0.307692307692308"
"148","10","04","0"
"149","10","05","0"
"150","10","06","0.333333333333333"
"151","10","07","0.391666666666667"
"152","10","08","0.5"
"153","10","09","0.5"
"154","10","10","0.5"
"155","10","11","0"
"156","10","12","0.5"
"157","10","13","0.5"
"158","10","14","1"
"159","10","15","1"
"160","10","16","0.5"
"161","11","01","0.5"
"162","11","02","0.0769230769230769"
"163","11","03","0.342105263157895"
"164","11","04","0.5"
"165","11","05","0.5"
"166","11","06","0.341666666666667"
"167","11","07","1"
"168","11","08","0"
"169","11","09","0.5"
"170","11","10","1"
"171","11","11","0.5"
"172","11","12","0.5"
"173","11","13","0.5"
"174","11","14","1"
"175","11","15","0.5"
"176","11","16","0.5"
"177","12","01","0"
"178","12","02","0"
"179","12","03","0.5"
"180","12","04","0.363636363636364"
"181","12","05","0.366666666666667"
"182","12","06","0.5"
"183","12","07","0.5"
"184","12","08","1"
"185","12","09","0.5"
"186","12","10","0.5"
"187","12","11","0.5"
"188","12","12","0.5"
"189","12","13","0.727272727272727"
"190","12","14","0.5"
"191","12","15","0.5"
"192","12","16","0.5"
"193","13","01","0"
"194","13","02","0.5"
"195","13","03","0.5"
